task,layer,attn_audio_frac,uniform_frac,view,step
interval_id,15.0,0.05029296875,0.49766650694612485,by_layer,
interval_id,16.0,0.024648030598958332,0.49766650694612485,by_layer,
interval_id,17.0,0.0257415771484375,0.49766650694612485,by_layer,
interval_id,18.0,0.030680338541666668,0.49766650694612485,by_layer,
interval_id,19.0,0.024688720703125,0.49766650694612485,by_layer,
interval_id,20.0,0.019826253255208332,0.49766650694612485,by_layer,
interval_id,21.0,0.020945231119791668,0.49766650694612485,by_layer,
interval_id,22.0,0.034250895182291664,0.49766650694612485,by_layer,
interval_id,23.0,0.027313232421875,0.49766650694612485,by_layer,
interval_id,24.0,0.0289306640625,0.49766650694612485,by_layer,
interval_id,25.0,0.028310139973958332,0.49766650694612485,by_layer,
interval_id,26.0,0.036977132161458336,0.49766650694612485,by_layer,
interval_id,27.0,0.025370279947916668,0.49766650694612485,by_layer,
interval_id,28.0,0.016337076822916668,0.49766650694612485,by_layer,
interval_id,29.0,0.019849141438802082,0.49766650694612485,by_layer,
interval_id,30.0,0.0253448486328125,0.49766650694612485,by_layer,
interval_id,31.0,0.024820963541666668,0.49766650694612485,by_layer,
interval_id,32.0,0.020121256510416668,0.49766650694612485,by_layer,
interval_id,33.0,0.013916015625,0.49766650694612485,by_layer,
interval_id,34.0,0.030232747395833332,0.49766650694612485,by_layer,
interval_id,35.0,0.024495442708333332,0.49766650694612485,by_layer,
interval_id,36.0,0.0189666748046875,0.49766650694612485,by_layer,
interval_id,37.0,0.021062215169270832,0.49766650694612485,by_layer,
interval_id,38.0,0.024342854817708332,0.49766650694612485,by_layer,
interval_id,39.0,0.0187530517578125,0.49766650694612485,by_layer,
interval_id,40.0,0.01031494140625,0.49766650694612485,by_layer,
interval_id,41.0,0.008303324381510416,0.49766650694612485,by_layer,
interval_id,42.0,0.011774698893229166,0.49766650694612485,by_layer,
interval_id,43.0,0.018681844075520832,0.49766650694612485,by_layer,
interval_id,44.0,0.026102701822916668,0.49766650694612485,by_layer,
interval_id,45.0,0.015284220377604166,0.49766650694612485,by_layer,
interval_id,46.0,0.040578206380208336,0.49766650694612485,by_layer,
interval_id,47.0,0.060953776041666664,0.49766650694612485,by_layer,
key_id,0.0,0.058675130208333336,0.6076133287877213,by_layer,
key_id,1.0,0.025227864583333332,0.6076133287877213,by_layer,
